valor_actual,valor_optimo,iteracion,modelo
0.48,0.48,0,ILS
0.4490566949451887,0.48,1,ILS
0.5356704223993782,0.48,2,ILS
0.39245375419666656,0.5356704223993782,3,ILS
0.48992243107114913,0.5356704223993782,4,ILS
0.5285822905517022,0.5356704223993782,5,ILS
0.5807971365867898,0.5356704223993782,6,ILS
0.5807971365867898,0.5807971365867898,7,ILS
0.7237937547391925,0.5807971365867898,8,ILS
0.7637398839786377,0.7237937547391925,9,ILS
0.7993079873134323,0.7637398839786377,10,ILS
0.7228667382731829,0.7993079873134323,11,ILS
0.7849253000018757,0.7993079873134323,12,ILS
0.8525202849379121,0.7993079873134323,13,ILS
0.9758440443217954,0.8525202849379121,14,ILS
0.9758440443217954,0.9758440443217954,15,ILS
0.7773025353780765,0.9758440443217954,16,ILS
0.9758440443217954,0.9758440443217954,17,ILS
0.9470818069159812,0.9758440443217954,18,ILS
0.9758440443217954,0.9758440443217954,19,ILS
0.9344056891476045,0.9758440443217954,20,ILS
